NAICS_Code,NAICS_Title,NAICS_Description,Hiscox_COB,COB_Group,PL,GL,BOP,Cyber,full_industry_code
111110,Soybean Farming,"Soybean farming, field and seed production",OOA,     ,No,No,No,No,0
111120,Oilseed (except Soybean) Farming ,"Canola farming, field and seed production",OOA,     ,No,No,No,No,0
111120,Oilseed (except Soybean) Farming ,"Flaxseed farming, field and seed production",OOA,     ,No,No,No,No,0
111120,Oilseed (except Soybean) Farming ,"Mustard seed farming, field and seed production",OOA,     ,No,No,No,No,0
111120,Oilseed (except Soybean) Farming ,"Oilseed farming (except soybean), field and seed production",OOA,     ,No,No,No,No,0
111120,Oilseed (except Soybean) Farming ,"Rapeseed farming, field and seed production",OOA,     ,No,No,No,No,0
111120,Oilseed (except Soybean) Farming ,"Safflower farming, field and seed production",OOA,     ,No,No,No,No,0
111120,Oilseed (except Soybean) Farming ,"Sesame farming, field and seed production",OOA,     ,No,No,No,No,0
111120,Oilseed (except Soybean) Farming ,"Sunflower farming, field and seed production",OOA,     ,No,No,No,No,0
111130,Dry Pea and Bean Farming ,"Bean farming, dry, field and seed production",OOA,     ,No,No,No,No,0
111130,Dry Pea and Bean Farming ,"Cowpea farming, dry, field and seed production",OOA,     ,No,No,No,No,0
111130,Dry Pea and Bean Farming ,"Garbanzo farming, dry, field and seed production",OOA,     ,No,No,No,No,0
111130,Dry Pea and Bean Farming ,"Lentil farming, dry, field and seed production",OOA,     ,No,No,No,No,0
111130,Dry Pea and Bean Farming ,"Lima bean farming, dry, field and seed production",OOA,     ,No,No,No,No,0
111130,Dry Pea and Bean Farming ,"Pea farming, dry, field and seed production",OOA,     ,No,No,No,No,0
111140,Wheat Farming,"Wheat farming, field and seed production",OOA,     ,No,No,No,No,0
111150,Corn Farming ,"Corn farming (except sweet corn), field and seed production",OOA,     ,No,No,No,No,0
111150,Corn Farming ,"Popcorn farming, field and seed production",OOA,     ,No,No,No,No,0
111160,Rice Farming,"Rice (except wild rice) farming, field and seed production",OOA,     ,No,No,No,No,0
111191,Oilseed and Grain Combination Farming ,"Oilseed and grain combination farming, field and seed production",OOA,     ,No,No,No,No,0
111199,All Other Grain Farming ,"Barley farming, field and seed production",OOA,     ,No,No,No,No,0
111199,All Other Grain Farming ,Broomcorn farming,OOA,     ,No,No,No,No,0
111199,All Other Grain Farming ,Buckwheat farming,OOA,     ,No,No,No,No,0
111199,All Other Grain Farming ,"Milo farming, field and seed production",OOA,     ,No,No,No,No,0
111199,All Other Grain Farming ,"Oat farming, field and seed production",OOA,     ,No,No,No,No,0
